node,in_degree,out_degree,pagerank
3344,15.0,13.0,0.00046777234891655226
2270,6.0,4.0,0.00046733580814573483
2611,4.0,3.0,0.0004671575929940185
22,4.0,4.0,0.0004670944355263628
1256,4.0,9.0,0.0004670322803988923
1466,5.0,1.0,0.0004666278598392798
374,1.0,2.0,0.00046637779606241593
1479,2.0,1.0,0.0004660739889329673
192,2.0,4.0,0.00046572863108039215
1464,3.0,2.0,0.00046557495627587604
3868,5.0,5.0,0.0004651137337653954
2979,9.0,2.0,0.000464597642106671
1972,4.0,1.0,0.00046417124343079173
2367,8.0,2.0,0.0004634938230619137
1776,3.0,1.0,0.0004628315554546586
2540,7.0,3.0,0.0004625077476213301
2254,9.0,8.0,0.0004621313168624058
6580,9.0,17.0,0.000460238685504083
2919,7.0,17.0,0.0004595976098156309
4588,3.0,7.0,0.0004595433060139927
5939,6.0,1.0,0.0004593771001931204
2605,3.0,1.0,0.0004587409028777037
3146,2.0,2.0,0.0004578905073720538
1465,2.0,1.0,0.0004578905073720538
4783,3.0,1.0,0.0004578905073720538
2867,2.0,1.0,0.0004578905073720538
4954,4.0,1.0,0.0004578905073720538
3144,2.0,1.0,0.0004578905073720538
6516,2.0,3.0,0.0004578905073720538
3640,2.0,1.0,0.0004578905073720538
2511,3.0,2.0,0.0004578905073720538
4586,3.0,1.0,0.0004578905073720538
6353,3.0,3.0,0.0004578905073720537
94,4.0,3.0,0.0004578905073720537
6477,3.0,4.0,0.0004578905073720537
6613,2.0,2.0,0.0004578905073720537
3242,8.0,2.0,0.0004573504772118424
6733,4.0,18.0,0.0004569849656635627
2918,7.0,5.0,0.00045684257214794475
3862,5.0,3.0,0.00045659228243060405
5298,3.0,2.0,0.00045655634965492133
2435,8.0,2.0,0.00045567948662810084
859,19.0,1.0,0.000455311952835785
6478,4.0,2.0,0.00045525824846354477
5362,8.0,11.0,0.00045476115605135573
4123,3.0,2.0,0.00045454696174480007
1492,3.0,1.0,0.00045438082882737516
218,12.0,4.0,0.00045414474870095423
2031,6.0,3.0,0.00045148151296460563
1495,2.0,1.0,0.00045087115028269654
224,15.0,9.0,0.0004505423769662329
1238,3.0,1.0,0.0004504729235804795
3005,3.0,5.0,0.0004500459362207228
6481,3.0,1.0,0.00044999373064652694
1485,3.0,3.0,0.00044967263671405873
6553,4.0,3.0,0.0004489715217433721
2358,2.0,5.0,0.00044884583560670483
4708,5.0,3.0,0.0004487802272153413
1031,2.0,3.0,0.0004481253356849533
1976,2.0,1.0,0.00044807898114966534
5353,6.0,4.0,0.0004474547209037801
3150,2.0,1.0,0.0004473614717380179
6536,3.0,1.0,0.0004473614717380179
4944,1.0,1.0,0.0004473614717380179
2868,1.0,1.0,0.0004473614717380179
2504,2.0,1.0,0.0004473614717380179
3647,1.0,1.0,0.0004473614717380179
1471,1.0,1.0,0.0004473614717380179
4569,1.0,2.0,0.0004473614717380179
